,link,title,recall_info,date,company,issue,audiences,category,audience_2,recall_class
25,https://recalls-rappels.canada.ca/en/alert-recall/organic-traditions-brand-dark-chocolate-covered-nut-products-recalled-due-possible,"Organic Traditions brand dark chocolate covered nut products recalled due to possible undeclared milk, cashew, milk, almond and/or hazelnut","Organic Traditions brand dark chocolate covered nut products recalled due to possible undeclared milk, cashew, almond and/or hazelnut. The recalled products were sold nationally.",2022-07-26,Organic Traditions,Food - Allergen - Milk,Retail,"Food - Candy, confectionary, snacks and sweeteners",Retail,Class 2
26,https://recalls-rappels.canada.ca/en/alert-recall/irresistibles-brand-sesame-asian-style-dressing-recalled-due-spoilage-0,Irresistibles brand Sesame Asian Style Dressing recalled due to spoilage,Irresistibles brand Sesame Asian Style Dressing recalled due to spoilage. The recalled product has been sold in Ontario and Quebec.,2022-07-25,Irresistibles,Food - Microbial Contamination - Non harmful (quality or spoilage),Retail,Irresistibles brand Sesame Asian Style Dressing recalled due to spoilage,Food - Condiments,Retail
30,https://recalls-rappels.canada.ca/en/alert-recall/certain-s-it-brand-dark-chocolate-truffles-recalled-due-undeclared-milk,Certain That's it. brand Dark Chocolate Truffles recalled due to undeclared milk,The affected products are being recalled from the marketplace because they may contain milk which is not declared on the label. The recalled products have been sold nationally.,2022-07-23,That's It.,Food - Allergen - Milk,"Food - Candy, confectionary, snacks and sweeteners",General public,Class 1,
31,https://recalls-rappels.canada.ca/en/alert-recall/certain-organic-traditions-brand-dark-chocolate-nut-products-recalled-due-undeclared,Certain Organic Traditions brand dark chocolate nut products recalled due to undeclared milk and hazelnut,Certain Organic Traditions brand chocolate products recalled due to undeclared milk and hazelnut. The recalled products were sold nationally.,2022-07-22,Organic Traditions,Food - Allergen - Milk,Retail,"Food - Candy, confectionary, snacks and sweeteners",Retail,Class 2
32,https://recalls-rappels.canada.ca/en/alert-recall/certain-zabiha-halal-brand-and-maple-lodge-farms-brand-chicken-wiener-products,Certain Zabiha Halal brand and Maple Lodge Farms brand Chicken Wiener products recalled due to undeclared pea protein,The affected products are being recalled from the marketplace because they contain pea protein which is not declared on the label. The recalled products have been sold nationally.,2022-07-21,Zabiha Halal,Food - Allergen - Other,Food - Meat and poultry - Processed,General public,Class 2,
33,https://recalls-rappels.canada.ca/en/alert-recall/certain-enjoy-life-brand-soft-baked-cookies-chocolate-chip-recalled-due-possible,Certain Enjoy Life brand Soft Baked Cookies – Chocolate Chip recalled due to possible presence of pieces of plastic,The affected product is being recalled from the marketplace due to the possible presence of pieces of plastic. The recalled product has been sold in Ontario and may have been distributed in other provinces and territories. It has also been sold online…,2022-07-20,Enjoy Life,Food - Extraneous Material,Certain Enjoy Life brand bakery products recalled due to possible presence of pieces of plastic,Food - Grain products,General public,Class 2
34,https://recalls-rappels.canada.ca/en/alert-recall/knorr-professional-soup-du-jour-brand-red-thai-curry-chicken-rice-soup-mix-recalled,Knorr Professional Soup du jour brand Red Thai Curry Chicken with Rice Soup Mix recalled due to undeclared milk,Knorr Professional Soup du jour brand Red Thai Curry Chicken with Rice Soup Mix recalled due to undeclared milk. The recalled product was sold nationally.,2022-07-18,Knorr Professional Soup du jour,Food - Allergen - Milk,"Hotels, restaurants and institutions",Food - Multiple food items,"Hotels, restaurants and institutions",Class 1
35,https://recalls-rappels.canada.ca/en/alert-recall/various-brands-chocolate-products-recalled-due-improperly-declared-milk,Various brands of chocolate products recalled due to improperly declared milk,"Various brands of chocolate products recalled due to improperly declared milk. The recalled products have been sold in Alberta, Saskatchewan, Manitoba, Ontario and British Columbia.",2022-07-18,Master Chocolat Bernard,Food - Allergen - Milk,Retail,"Food - Candy, confectionary, snacks and sweeteners",Retail,Class 2
36,https://recalls-rappels.canada.ca/en/alert-recall/fry-s-brand-orange-cream-dark-chocolate-bar-recalled-due-undeclared-milk,Fry's brand Orange Cream (Dark Chocolate Bar) recalled due to undeclared milk,"Fry's brand Orange Cream (Dark Chocolate Bar) recalled due to undeclared milk. The recalled product has been sold in British Columbia, Alberta, Ontario and Quebec.",2022-07-15,Fry's,Food - Allergen - Milk,Retail,"Food - Candy, confectionary, snacks and sweeteners",Retail,Class 2
37,https://recalls-rappels.canada.ca/en/alert-recall/stuffed-fish-ball-recalled-due-undeclared-egg,Stuffed Fish Ball recalled due to undeclared egg,The affected product is being recalled from the marketplace because it may contain egg which is not declared on the label. The recalled product has been sold in Ontario and Quebec and may have been distributed in other provinces or territories.,2022-07-15,Food - Allergen - Egg,Food - Fish and seafood - Frozen,General public,Class 1,,
38,https://recalls-rappels.canada.ca/en/alert-recall/crave-stevia-brand-chocolate-products-recalled-due-undeclared-milk,Crave Stevia brand chocolate products recalled due to undeclared milk,"The affected products are being recalled from the marketplace because they may contain milk which is not declared on the label.  The recalled products have been sold in British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New…",2022-07-15,Crave Stevia,Food - Allergen - Milk,"Food - Candy, confectionary, snacks and sweeteners",General public,Class 1,
39,https://recalls-rappels.canada.ca/en/alert-recall/enoki-mushroom-recalled-due-listeria-monocytogenes,Enoki Mushroom recalled due to Listeria monocytogenes,"The affected product is being recalled from the marketplace due to possible Listeria monocytogenes contamination.  The recalled product has been sold in British Columbia and Manitoba, and may have been distributed in other provinces and territories…",2022-07-12,Food - Microbial Contamination - Listeria,Food - Fruits and vegetables - Fresh,General public,Class 1,,
40,https://recalls-rappels.canada.ca/en/alert-recall/s-it-brand-dark-chocolate-fig-truffles-recalled-due-undeclared-milk,That's It. brand Dark Chocolate Fig Truffles recalled due to undeclared milk,That's It. brand Dark Chocolate Fig Truffles recalled due to undeclared milk. The recalled product has been sold nationally.,2022-07-05,That's It.,Food - Allergen - Milk,Retail,"Food - Candy, confectionary, snacks and sweeteners",Retail,Class 2
41,https://recalls-rappels.canada.ca/en/alert-recall/twa-fungi-brand-king-oyster-mushroom-recalled-due-listeria-monocytogenes,TWA Fungi brand King Oyster Mushroom recalled due to Listeria monocytogenes,The affected product is being recalled from the marketplace due to possible Listeria monocytogenes contamination. The recalled product has been sold in British Columbia and may have been distributed in other provinces and territories.,2022-07-01,TWA Fungi,Food - Microbial Contamination - Listeria,Food - Fruits and vegetables - Fresh,General public,Class 1,
42,https://recalls-rappels.canada.ca/en/alert-recall/certain-enjoy-life-brand-bakery-products-recalled-due-possible-presence-pieces-plastic,Certain Enjoy Life brand bakery products recalled due to possible presence of pieces of plastic,The affected products are being recalled from the marketplace due to the possible presence of pieces of plastic. The recalled products have been sold nationally and online.,2022-07-01,Enjoy Life,Food - Extraneous Material,Certain Enjoy Life brand Soft Baked Cookies – Chocolate Chip recalled due to possible presence of pieces of plastic,Food - Grain products,General public,Class 2
43,https://recalls-rappels.canada.ca/en/alert-recall/remarkaball-brand-crunchy-energy-balls-recalled-due-undeclared-milk,RemarkaBall brand Crunchy Energy Balls recalled due to undeclared milk,The affected products are being recalled from the marketplace because they may contain milk which is not declared on the label. The recalled products have been sold in Alberta and online.,2022-06-30,RemarkaBall,Food - Allergen - Milk,"Food - Candy, confectionary, snacks and sweeteners",General public,Class 1,
44,https://recalls-rappels.canada.ca/en/alert-recall/lao-beijing-brand-drinkable-yogurt-recalled-due-mould,Lao Beijing brand Drinkable Yogurt recalled due to mould,"Lao Beijing brand Drinkable Yogurt recalled due to mould.
The recalled products were sold in British Columbia and Ontario.",2022-06-28,Lao Beijing,Food - Microbial Contamination - Non harmful (quality or spoilage),Retail,Food - Dairy,Retail,Class 3
45,https://recalls-rappels.canada.ca/en/alert-recall/shrimp-dumpling-fish-wrapper-recalled-due-undeclared-egg,Shrimp dumpling with fish wrapper recalled due to undeclared egg,The affected product is being recalled from the marketplace because it contains egg which is not declared on the label. The recalled product has been sold in Ontario and Quebec and may have been distributed in other provinces or territories.,2022-06-24,Food - Allergen - Egg,Food - Fish and seafood - Frozen,General public,Class 1,,
46,https://recalls-rappels.canada.ca/en/alert-recall/raaka-brand-coconut-milk-unroasted-dark-chocolate-60-cacao-recalled-due-undeclared,Raaka brand Coconut Milk Unroasted Dark Chocolate 60% Cacao recalled due to undeclared sesame,Raaka brand Coconut Milk Unroasted Dark Chocolate 60% Cacao recalled due to undeclared sesame. The recalled product was sold nationally.,2022-06-24,Raaka,Food - Allergen - Sesame seeds,Retail,"Food - Candy, confectionary, snacks and sweeteners",Retail,Class 2
47,https://recalls-rappels.canada.ca/en/alert-recall/gelato-artigianale-al-gusto-di-raspberry-gelato-recalled-due-possible-norovirus,Gelato Artigianale al gusto di Raspberry Gelato recalled due to possible norovirus contamination of raspberries used in product,"The affected product is being recalled from the marketplace due to possible norovirus contamination of the raspberries used in this product. The recalled product has been sold at Angelo's Italian Market Inc. (London, ON).",2022-06-24,Food - Microbial Contamination - Norovirus,Alasko brand IQF Whole Raspberries recalled due to norovirus,Food - Dairy,General public,Class 2,
48,https://recalls-rappels.canada.ca/en/alert-recall/tas-brand-coconut-water-recalled-due-undeclared-milk,T.A.S. brand Coconut Water recalled due to undeclared milk,"The affected product is being recalled from the marketplace because it contains milk which is not declared on the label. The recalled product has been sold in British Columbia, Alberta, Saskatchewan, Manitoba, Ontario and Quebec.",2022-06-24,T.A.S.,Food - Allergen - Milk,Food - Beverages - Non-alcoholic,General public,Class 1,
49,https://recalls-rappels.canada.ca/en/alert-recall/master-chocolat-bernard-brand-dark-chocolate-chips-recalled-due-undeclared-milk,Master Chocolat Bernard brand Dark Chocolate Chips recalled due to undeclared milk,Master Chocolat Bernard brand Dark Chocolate Chips recalled due to undeclared milk. The recalled product was sold in Alberta and Saskatchewan.,2022-06-23,Master Chocolat Bernard,Food - Allergen - Milk,Retail,"Food - Candy, confectionary, snacks and sweeteners",Retail,Class 2
50,https://recalls-rappels.canada.ca/en/alert-recall/various-brands-ginger-cookies-and-oatmeal-choc-chip-cookies-recalled-due-pieces-metal,Various brands of Ginger Cookies and Oatmeal Choc Chip Cookies recalled due to pieces of metal,Various brands of Ginger Cookies and Oatmeal Choc Chip Cookies recalled due to pieces of metal. The recalled products have been sold in British Columbia.,2022-06-23,Irene's Bakery,Food - Extraneous Material,Retail,"Food - Candy, confectionary, snacks and sweeteners",Retail,Class 2
51,https://recalls-rappels.canada.ca/en/alert-recall/crave-stevia-brand-dark-all-natural-chocolate-recalled-due-undeclared-milk,Crave Stevia brand Dark All Natural Chocolate recalled due to undeclared milk,"The affected product is being recalled from the marketplace because it may contain milk which is not declared on the label. The recalled product has been sold in British Columbia and Ontario, and may have been distributed in other provinces and…",2022-06-23,Crave Stevia,Food - Allergen - Milk,"Food - Candy, confectionary, snacks and sweeteners",General public,Class 1,
52,https://recalls-rappels.canada.ca/en/alert-recall/fresh-prep-brand-creamy-basil-pesto-gnocchi-recalled-due-undeclared-wheat,Fresh Prep brand Creamy Basil Pesto Gnocchi recalled due to undeclared wheat,Fresh Prep brand Creamy Basil Pesto Gnocchi recalled due to undeclared wheat. The recalled product has been sold in British Columbia.,2022-06-21,Fresh Prep,Food - Allergen - Gluten,Retail,Food - Multiple food items,Retail,Class 3
53,https://recalls-rappels.canada.ca/en/alert-recall/remarkaball-brand-crunchy-almond-crunchy-energy-balls-recalled-due-undeclared-milk,RemarkaBall brand Crunchy Almond Crunchy Energy Balls recalled due to undeclared milk,RemarkaBall brand Crunchy Almond Crunchy Energy Balls recalled due to undeclared milk. The recalled product has been sold in Alberta.,2022-06-21,RemarkaBall,Food - Allergen - Milk,Retail,"Food - Candy, confectionary, snacks and sweeteners",Retail,Class 2
54,https://recalls-rappels.canada.ca/en/alert-recall/certain-revive-superfoods-brand-smoothies-and-oats-recalled-due-possible-norovirus,Certain Revive Superfoods brand Smoothies and Oats recalled due to possible norovirus contamination of raspberries used in these products,Revive Organics Inc. is recalling the affected products from the marketplace due to possible norovirus contamination of the raspberries used in these products. The recalled products have been sold nationally online.,2022-06-18,Revive Superfoods,Food - Microbial Contamination - Norovirus,Alasko brand IQF Whole Raspberries recalled due to norovirus,Food - Grain products - Oatmeal,General public,Class 2
55,https://recalls-rappels.canada.ca/en/alert-recall/alasko-brand-iqf-whole-raspberries-recalled-due-norovirus,Alasko brand IQF Whole Raspberries recalled due to norovirus,"Alasko brand IQF Whole Raspberries recalled due to norovirus. The recalled product has been sold in Quebec, Ontario, Nova Scotia, Newfoundland and Labrador and Nunavut.",2022-06-10,Alasko,Food - Microbial Contamination - Norovirus,Certain Revive Superfoods brand Smoothies and Oats recalled due to possible norovirus contamination of raspberries used in these products,Food - Fruits and vegetables - Frozen,General public,Class 1
56,https://recalls-rappels.canada.ca/en/alert-recall/baril-brand-processed-potatoes-recalled-due-pieces-metal,Baril brand Processed Potatoes recalled due to pieces of metal,Baril brand Processed Potatoes recalled due to pieces of metal. The recalled product has been sold in Quebec.,2022-06-03,Baril,Food - Extraneous Material,"Hotels, restaurants and institutions",Food - Fruits and vegetables - Fresh,"Hotels, restaurants and institutions",Class 2
57,https://recalls-rappels.canada.ca/en/alert-recall/freshprep-brand-crunchy-caesar-salad-recalled-due-undeclared-milk,Freshprep brand Crunchy Caesar Salad recalled due to undeclared milk,Freshprep brand Crunchy Caesar Salad recalled due to undeclared milk. The recalled product has been sold in Alberta and British Columbia.,2022-06-02,Freshprep,Food - Allergen - Milk,Food - Multiple food items,General public,Class 2,
58,https://recalls-rappels.canada.ca/en/alert-recall/certain-tri-star-seafood-supply-ltd-spot-prawns-recalled-due-norovirus,Certain Tri-Star Seafood Supply Ltd. Spot Prawns recalled due to norovirus,Tri-Star Seafood Supply Ltd. is recalling certain Spot Prawns from the marketplace due to possible norovirus contamination. The recalled products have been sold in British Columbia and Ontario and may have been distributed in other provinces and…,2022-06-02,Tri-Star Seafood Supply Ltd.,Food - Microbial Contamination - Norovirus,Certain Tri-Star Seafood Supply Ltd. brand Live Spot Prawns recalled due to norovirus,Food - Fish and seafood - Fresh,General public,Class 2
59,https://recalls-rappels.canada.ca/en/alert-recall/whole-raspberries-frozen-recalled-due-norovirus,Whole raspberries (frozen) recalled due to norovirus,"Épicerie Frenette is recalling the affected product from the marketplace due to possible norovirus contamination. The recalled product has been sold at Épicerie Frenette, 625 rue Principale, Beresford, New Brunswick.",2022-06-01,Food - Microbial Contamination - Norovirus,Below Zero brand Whole Raspberries IQF recalled due to Norovirus,Food - Fruits and vegetables - Frozen,General public,Class 2,
60,https://recalls-rappels.canada.ca/en/alert-recall/certain-tri-star-seafood-supply-ltd-brand-live-spot-prawns-recalled-due-norovirus,Certain Tri-Star Seafood Supply Ltd. brand Live Spot Prawns recalled due to norovirus,"Tri-Star Seafood Supply Ltd. is recalling certain Tri-Star Seafood Supply Ltd. brand Live Spot Prawns from the marketplace due to possible norovirus contamination. The recalled product has been sold in British Columbia, Alberta, Manitoba, and Ontario…",2022-05-31,Tri-Star Seafood Supply Ltd.,Food - Microbial Contamination - Norovirus,Certain Tri-Star Seafood Supply Ltd. Spot Prawns recalled due to norovirus,Food - Fish and seafood - Fresh,General public,Class 2
61,https://recalls-rappels.canada.ca/en/alert-recall/certain-sweet-spot-chocolate-shop-brand-peanut-butter-containing-chocolates-recalled,Certain Sweet Spot Chocolate Shop brand peanut butter-containing chocolates recalled due to Salmonella,Sweet Spot Chocolate Shop is recalling certain Sweet Spot Chocolate Shop brand peanut butter-containing chocolates from the marketplace due to possible Salmonella contamination. The recalled products have been sold in Nova Scotia and online.,2022-05-26,Sweet Spot Chocolate Shop,Food - Microbial Contamination - Salmonella,"Food - Candy, confectionary, snacks and sweeteners",General public,Class 2,
62,https://recalls-rappels.canada.ca/en/alert-recall/rogers-brand-golden-yellow-sugar-recalled-due-pieces-plastic,Rogers brand Golden Yellow Sugar recalled due to pieces of plastic,Rogers brand Golden Yellow Sugar recalled due to pieces of plastic. The recalled product was distributed in Alberta and British Columbia.,2022-05-24,Rogers,Food - Extraneous Material,Retail,"Food - Candy, confectionary, snacks and sweeteners",Retail,Class 2
63,https://recalls-rappels.canada.ca/en/alert-recall/certain-jif-brand-peanut-butters-recalled-due-salmonella,Certain Jif brand Peanut Butters  recalled due to Salmonella,"Smucker Foods of Canada Corp. is recalling certain  Jif brand Peanut Butters from the marketplace due to possible Salmonella contamination.
The recalled products have been sold nationally  and online.",2022-05-22,Jif,Food - Microbial Contamination - Salmonella,Food - Other,General public,Class 2,
64,https://recalls-rappels.canada.ca/en/alert-recall/cebu-s-dried-fish-brand-dried-silver-fish-bol-s-dilis-recalled-due-histamine,Cebu's Dried Fish brand Dried Silver Fish (Bol S Dilis) recalled due to histamine,Cebu's Dried Fish brand Dried Silver Fish (Bol S Dilis) recalled due to histamine. The recalled product has been sold in Alberta and online.,2022-05-20,Cebu's Dried Fish,Food - Chemical,Retail,Food - Fish and seafood,Retail,Class 2
65,https://recalls-rappels.canada.ca/en/alert-recall/lafleur-original-brand-wieners-recalled-due-texture-and-appearance-issues,Lafleur Original brand Wieners recalled due to texture and appearance issues,"Lafleur Original brand Wieners recalled due to texture and appearance issues. The recalled product was sold in Manitoba, New Brunswick, Nova Scotia, Ontario, and Quebec.",2022-05-19,Lafleur Original,Food - Other,Retail,Food - Meat and poultry - Processed,Retail,Class 3
66,https://recalls-rappels.canada.ca/en/alert-recall/suzie-s-brand-organic-cocktail-sauce-recalled-due-spoilage,Suzie's brand Organic Cocktail Sauce recalled due to spoilage,Suzie's brand Organic Cocktail Sauce recalled due to spoilage. The recalled product was sold in Alberta and British Columbia.,2022-05-17,Suzie's,Food - Microbial Contamination - Non harmful (quality or spoilage),Retail,Food - Condiments,Retail,Class 3
67,https://recalls-rappels.canada.ca/en/alert-recall/life-savers-skittles-and-starburst-brand-gummies-recalled-due-pieces-metal,"Life Savers, Skittles and Starburst brand gummies recalled due to pieces of metal","Life Savers, Skittles and Starburst brand gummies recalled due to pieces of metal. The recalled products were sold nationally.",2022-05-16,Life Savers,Food - Extraneous Material,Retail,"Food - Candy, confectionary, snacks and sweeteners",Retail,Class 3
68,https://recalls-rappels.canada.ca/en/alert-recall/below-zero-brand-whole-raspberries-iqf-recalled-due-norovirus,Below Zero brand Whole Raspberries IQF recalled due to Norovirus,"Below Zero brand Whole Raspberries IQF recalled due to Norovirus. The recalled product has been sold in Alberta, New Brunswick, Nova Scotia, Ontario, and Quebec.",2022-05-15,Below Zero,Food - Microbial Contamination - Norovirus,Whole raspberries (frozen) recalled due to norovirus,Food - Fruits and vegetables - Frozen,General public,Class 2
69,https://recalls-rappels.canada.ca/en/alert-recall/jumbo-brand-melk-chocopasta-milk-chocolate-spread-recalled-due-undeclared-hazelnuts,Jumbo brand Melk Chocopasta (Milk Chocolate Spread) recalled due to undeclared hazelnuts,"Jumbo brand Melk Chocopasta (Milk Chocolate Spread) recalled due to undeclared hazelnuts. The recalled product was sold in Alberta, British Columbia, and Manitoba.",2022-05-13,Jumbo,Food - Allergen - Tree nut,Retail,"Food - Candy, confectionary, snacks and sweeteners",Retail,Class 3
70,https://recalls-rappels.canada.ca/en/alert-recall/tree-brewing-co-brand-golden-larch-grapefruit-radler-recalled-due-undeclared-sulphites,Tree Brewing Co. brand Golden Larch Grapefruit Radler recalled due to undeclared sulphites,Tree Brewing Co. is recalling the affected products from the marketplace because they contain sulphites which are not declared on the label. The recalled products have been sold in Alberta and British Columbia.,2022-05-13,Tree Brewing Co.,Food - Allergen - Sulphites,Food - Beverages - Alcoholic,General public,Class 1,
