,index,title,date,hazard,hazard_type,recall_class,audience,distribution,brand,company,product
68,304,Al-Rabih brand Tahini recalled due to Salmonella,2021-06-23,Salmonella,Microbiological,Class 2,Consumer,Nationally,Al-Rabih,Phoenicia Group Inc.,Tahini
69,305,Thai Best brand Thailand Black Tiger Shrimp Size 16-20 recalled due to undeclared sulphites,2021-06-23,Sulphites,Allergen,Class 1,Consumer,British Columbia,Thai Best,Searay Foods Inc.,Thailand black tiger shrimp size 16-20
70,307,Turkey Breakfast Sausage recalled due to undeclared milk,2021-06-18,Milk,Allergen,Class 1,Consumer,British Columbia,,Meadow Valley Meats,To undeclared milk
71,309,Barstool brand and Sweet Island brand Oysters recalled due to generic E. coli,2021-06-14,E. coli,Microbiological,Class 2,Retail,"Alberta, Quebec, Newfoundland and Labrador",Barstool,Atlantic Aqua Farms Ltd.,And sweet island brand oysters
72,310,New World brand Organic Hemp Butter - Raw recalled due to undeclared cashew,2021-06-10,Cashew,Allergen,Class 2,Retail,"Alberta, British Columbia, Ontario, Quebec",New World,New World Natural Foods Inc.,Organic hemp butter - raw
73,311,Searay brand Thailand Black Tiger Shrimp Size 31-40 recalled due to undeclared sulphites,2021-06-03,Sulphites,Allergen,Class 1,Consumer,"Alberta, British Columbia, Ontario",Searay,Searay Foods Inc.,Thailand black tiger shrimp size 31-40
74,312,Triple Crown brand Black Tiger Shrimp recalled due to undeclared sulphites,2021-06-01,Sulphites,Allergen,Class 2,"Retail, Hotel/Restaurant/Institutional",Ontario,Triple Crown,Midland Food Products Inc.,Black tiger shrimp
75,314,Various brands of Tortillon recalled due to pieces of metal,2021-05-26,Metal,Extraneous Material,Class 3,"Retail, Warehouse",Quebec,Various,Fromagerie Albert Perron Inc.,Of tortillon
76,313,Consumption of Our Father's Farm brand apricot kernel products may cause cyanide poisoning,2021-05-26,Cyanide poisoning,Chemical,Class 1,Retail,Consumer,Consumption of Our Father's Farm,National,Consumption of our father's farm
77,315,Johnsonville brand Smokies recalled due to mould,2021-05-20,Mould,Microbiological,Class 3,Retail,"Prince Edward Island, New Brunswick, Nova Scotia, Ontario, Newfoundland and Labrador",Johnsonville,Johnsonville LLC,Smokies
78,316,Certain Enoki Mushrooms may be unsafe due to Listeria monocytogenes,2021-05-15,Listeria monocytogenes,Microbiological,Class 1,Retail,Nationally,,Ravine Mushroom Farms,To listeria monocytogenes
79,317,Baman brand Sour Radish Vermicelli recalled due to mould,2021-05-13,Mould,Microbiological,Class 3,Retail,Ontario,Baman,Uncle T Food Ltd.,Sour radish vermicelli
80,318,Castel Regio brand Taleggio DOP recalled due to Listeria monocytogenes,2021-05-12,Listeria monocytogenes,Microbiological,Class 1,Retail,"British Columbia, Quebec",Castel Regio,Les Dependances,Taleggio dop
81,319,Farm Boy The Bake Shop brand Tres Leches Cake recalled due to undeclared wheat,2021-05-11,Wheat,Allergen,Class 2,Consumer,Ontario,Farm Boy The Bake Shop,Farm Boy Company Inc.,Tres leches cake
82,322,Cadbury Dairy Milk brand Mini Bars Milk Chocolate recalled due to undeclared hazelnut,2021-05-07,Hazelnut,Allergen,Class 3,Retail,Nationally,Cadbury Dairy Milk,Mondelez Canada Inc.,Mini bars milk chocolate
83,320,Golden Mushroom brand Enoki Mushroom recalled due to Listeria monocytogenes,2021-05-07,Listeria monocytogenes,Microbiological,Class 1,Retail,Nationally,Golden Mushroom,"Goldenway International Trade Co., Ltd.",Enoki mushroom
84,321,"Co-op Gold Pure brand Organic ""Protein"" Peanut Butter – Crunchy and Superfood Peanut Butter - Crunchy recalled due to undeclared almond and cashew",2021-05-07,"Almond , cashew",Allergen,Class 2,Retail,"Alberta, British Columbia, Manitoba, Saskatchewan",Co-op Gold Pure,Federated Co-operatives Ltd.,"Organic ""protein"" peanut butter – crunchy and superfood peanut butter - crunchy"
85,324,"New World brand Tree Nut Butters and Flavoured Peanut Butters recalled due to undeclared almond, cashew and peanut",2021-05-07,"Almond, cashew , peanut",Allergen,Class 2,Retail,Nationally,New World,New World Natural Foods Inc.,Tree nut butters and flavoured peanut butters
86,323,Be Fresh brand Natural Almond Butter - Smooth recalled due to undeclared cashew and peanut,2021-05-07,"Cashew , peanut",Allergen,Class 2,Retail,"Alberta, British Columbia",Be Fresh,Jiva Manufacturing & Distributing Inc.,Natural almond butter - smooth
87,325,Certain The Big Carrot brand juice products may be unsafe due to pieces of glass,2021-05-06,Glass,Extraneous Material,Class 1,Retail,Ontario,Certain The Big Carrot,The Big Carrot,Juice products
88,326,Various brands of Fig Spread recalled due to presence of stones,2021-04-27,Stones,Extraneous Material,Class 3,Hotel/Restaurant/Institutional,"Alberta, British Columbia, New Brunswick, Ontario, Saskatchewan, Yukon",Various,W.T. Lynch Foods Limited,Of fig spread
89,327,Original Two-Bite brand Chocolate Chip Banana Bread recalled due to mould,2021-04-22,Mould,Microbiological,Class 3,Retail,"Alberta, Manitoba, Saskatchewan",Original Two-Bite,Give and Go Prepared Foods Corp.,Chocolate chip banana bread
90,328,Goldilocks Sweet Delights brand Pinipig Polvoron Philippine Shortbread Cookies recalled due to rancidity,2021-04-20,Quality/Spoilage,Other,Class 3,Retail,Nationally,Goldilocks Sweet Delights,AFOD Ltd.,Pinipig polvoron philippine shortbread cookies
91,331,New World brand Organic Chia Coconut Peanut Butter recalled due to undeclared almond and cashew,2021-04-18,"Almond , cashew",Allergen,Class 2,Retail,"Alberta, British Columbia, Manitoba, New Brunswick, Newfoundland and Labrador, Nova Scotia, Prince Edward Island, Saskatchewan",New World,New World Natural Foods Inc.,Organic chia coconut peanut butter
92,329,"Co-op Gold Pure brand Organic ""Protein"" Peanut Butter – Crunchy recalled due to undeclared almond and Co-op Gold Pure brand Superfood Peanut Butter – Crunchy recalled due to undeclared almond and cashew",2021-04-18,"Almond , co-op gold pure br, superfood peanut butter – crunchy recalled due to un almond , cashew",Allergen,Class 1,Consumer,Nationally,Co-op Gold Pure,Federated Co-operatives Ltd.,"Organic ""protein"" peanut butter – crunchy recalled due to undeclared almond and co-op gold pure brand superfood peanut butter – crunchy"
93,330,Woodward's brand Peanut Butter - Crunchy Unsalted recalled due to undeclared cashew,2021-04-18,Cashew,Allergen,Class 3,Retail,British Columbia,Woodward's,Jiva Manufacturing & Distributing Inc.,Peanut butter - crunchy unsalted
94,332,Annette's brand Mini Donuts - Powdered recalled due to undeclared peanut,2021-04-16,Peanut,Allergen,Class 2,Retail,"Alberta, British Columbia, Manitoba, Saskatchewan, Yukon",Annette's,Weston Foods,Mini donuts - powdered
95,334,Polskaw Surowa (Sausage) recalled due to generic E. coli,2021-04-15,E. coli,Microbiological,Class 2,Retail,Ontario,,Lavergne Western Beef,To generic e. coli
96,333,Nestlé brand Drumstick Caramel Non-Dairy Frozen Dessert Cones and Drumstick Vanilla Chocolate Swirl Non-Dairy Frozen Dessert Cones recalled due to undeclared milk,2021-04-15,Milk,Allergen,Class 1,Consumer,Nationally,Nestlé,Nestlé Canada Inc.,Drumstick caramel non-dairy frozen dessert cones and drumstick vanilla chocolate swirl non-dairy frozen dessert cones
97,336,Co-op Gold Pure brand Superfood Peanut Butter – Crunchy recalled due to undeclared hazelnut and almond,2021-04-13,"Hazelnut , almond",Allergen,Class 2,Retail,"Alberta, British Columbia, Manitoba, Northwest Territories, Nunavut, Saskatchewan, Yukon",Co-op Gold Pure,Federated Co-Operatives Ltd.,Superfood peanut butter – crunchy
98,337,New World brand Almond Butter - Smooth - Roasted recalled due to undeclared peanut and cashew,2021-04-13,"Peanut , cashew",Allergen,Class 2,Retail,"British Columbia, Ontario",New World,New World Natural Foods Inc.,Almond butter - smooth - roasted
99,335,Thai Elephant brand Black Tiger Shrimp recalled due to undeclared sulphites,2021-04-13,Sulphites,Allergen,Class 2,Hotel/Restaurant/Institutional,"Ontario, Quebec",Thai Elephant,Soline Trading Ltd.,Black tiger shrimp
100,338,Hayter's Farm brand Onion & Parsley Turkey Burgers recalled due to undeclared wheat,2021-04-11,Wheat,Allergen,Class 1,Consumer,Ontario,Hayter's Farm,Hayter's Turkey Products Inc.,Onion & parsley turkey burgers
101,339,"Consumption of Double Happiness brand ""Dried Almond"" may cause cyanide poisoning",2021-04-09,Cyanide poisoning,Chemical,Class 1,Retail,Nationally,Consumption of Double Happiness,Tun Hau Enterprises (Canada) Ltd.,Consumption of double happiness
102,340,Co-op Gold Pure brand Almond Butter – Crunchy Roasted recalled due to undeclared cashew and hazelnut,2021-04-09,"Cashew , hazelnut",Allergen,Class 1,Consumer,Nationally,Co-op Gold Pure,Federated Co-Operatives Ltd.,Almond butter – crunchy roasted
103,341,Leadbetters brand Cowboy Burgers recalled due to possible spoilage,2021-04-07,Quality/Spoilage,Microbiological,Class 3,Retail,Ontario,Leadbetters,Leadbetter Foods Inc.,Cowboy burgers
104,342,Consumption of Chen-Chen brand Dried Apricot North Almond Seeds may cause cyanide poisoning,2021-04-06,Cyanide poisoning,Chemical,Class 1,Retail,Nationally,Consumption of Chen-Chen,Chevalier Star Trading Co. Ltd.,Consumption of chen-chen
105,343,Consumption of certain apricot kernel products may cause cyanide poisoning,2021-04-02,Cyanide poisoning,Chemical,Class 1,Retail,Ontario,,Yin Chun Super Herb Inc.,Apricot kernel products may cause cyanide poisoning
106,344,Co-op Gold Pure brand Almond Butter – Raw – Unroasted recalled due to undeclared cashew and hazelnut and Co-op Gold Pure brand Cashew Butter recalled due to undeclared almond and hazelnut,2021-04-02,"Cashew , hazelnut , co-op gold pure br, cashew butter recalled due to un almond , hazelnut",Allergen,Class 2,Retail,"Alberta, British Columbia, Manitoba, Northwest Territories, Nunavut, Saskatchewan, Yukon",Co-op Gold Pure,Federated Co-operatives Ltd.,Almond butter – raw – unroasted recalled due to undeclared cashew and hazelnut and co-op gold pure brand cashew butter
107,346,Consumption of Heng Le brand Blanched Bitter Apricot may cause cyanide poisoning,2021-03-31,Cyanide poisoning,Chemical,Class 1,Hotel/Restaurant/Institutional,"Alberta, British Columbia, Ontario",Consumption of Heng Le,Topwin Trading Co. Ltd.,Consumption of heng le
108,349,Que Pasa Mexicana brand Salsa-Medium recalled due to pieces of glass,2021-03-30,Glass,Extraneous Material,Class 2,Retail,Nationally,Que Pasa Mexicana,Nature's Path Foods Inc.,Salsa-medium
109,347,Kolapore Springs brand and North Shore brand smoked trout products recalled due to potential presence of dangerous bacteria,2021-03-30,Dangerous bacteria,Microbiological,Class 1,Consumer,Ontario,Kolapore Springs,North Shore Specialty Foods,And north shore brand smoked trout products
110,348,Consumption of Earth Notions brand Raw Bitter Apricot Kernels may cause cyanide poisoning,2021-03-30,Cyanide poisoning,Chemical,Class 1,Retail,Nationally,Consumption of Earth Notions,Earth Notions Inc.,Consumption of earth notions
111,350,Consumption of Our Father's Farm brand Extremely Bitter Apricot Kernels may cause cyanide poisoning,2021-03-26,Cyanide poisoning,Other,Class 1,Retail,Nationally,Consumption of Our Father's Farm,Our Father's Farm,Consumption of our father's farm
112,351,Kolapore Springs brand smoked trout products recalled due to potential presence of dangerous bacteria,2021-03-26,Dangerous bacteria,Microbiological,Class 1,Consumer,Ontario,Kolapore Springs,North Shore Specialty Foods,Smoked trout products
113,352,Consumption of Double Happiness brand Dried Apricot Seed Mix may cause cyanide poisoning,2021-03-24,Cyanide poisoning,Other,Class 1,Retail,Nationally,Consumption of Double Happiness,Tun Hau Enterprises (Canada) Ltd.,Consumption of double happiness
114,353,Goodfood brand Chicken & Parm Grain Bowl with Mixed Salad recalled due to undeclared sesame,2021-03-24,Sesame,Allergen,Class 3,Consumer,Quebec,Goodfood,Goodfood Market Corp.,Chicken & parm grain bowl with mixed salad
115,355,Co-op Gold Pure brand Almond Butter – Crunchy Roasted recalled due to undeclared cashew and Co-op Gold Pure brand Cashew Butter recalled due to undeclared almond,2021-03-20,"Cashew , co-op gold pure br, cashew butter recalled due to un almond",Allergen,Class 1,Retail,Nationally,Co-op Gold Pure,Federated Co-operatives Ltd.,Almond butter – crunchy roasted recalled due to undeclared cashew and co-op gold pure brand cashew butter
